key,text
Kaushik Mukherjee + SUGAR Cosmetics,"Hi, I'm Kaushik and I love building brands! Follow me for candid backstage hits & misses as we build SUGAR Cosmetics into a billion-dollar brand from nothing ??I spent the first 25 years of my life trying to build the perfect CV. Why? Because as a conscientious kid in a middle-class family, EDUCATION was always the bridge to SECURITY and hence, SUCCESS. Engineering at BITS Pilani. Gold-medal awardee at IIM Ahmedabad. Summer internship + pre-placement offer at Goldman Sachs, New York. Never once did I stop to think. What if security was not equal to success? What is success anyway?And then, it started. Declined the investment banking job offer to start up an eCommerce company in 2008. Failed.Raised seed funding from Rediff to run an online insurance portal. Shut down.Ran out of money. Borrowed from friends till I landed a job at McKinsey & Co. Survived.Started up again after two years. And have been building again ever since.Today, I still don't know what success is but I understand what happiness can be. Happiness is the cacophony of creating and the bustle of building. I'm here to share our journey as we build SUGAR Cosmetics over the next decade. Would love to have you clued in on the ride ?? Discussions on Startups, Entrepreneurship, Brand building and Marketing energize me - so does Public Speaking and Knowledge Sharing. Apart from a TEDx Talk, I have spoken at various leadership forums in organizations such as Google, Future Group, Capgemini and more. An IRONMAN triathlete - in 2017, I successfully finished the world's toughest single-day sporting event 4km swim ?? + 180km cycle ??+ 42km run??) in under 17 hrs. While this seems unrelated - it is difficult to express how much I credit this experience for sowing the seeds of endurance in me. Because Entrepreneurship. Takes. Time.Let's Keep Building!??????Currently reside in:Mumbai with my better-half in business/life and two rambunctious kids.Featured in: Fortune 40 Under 40 List 2021, Economic Times, Entrepreneur magazine, Times Of India, YourStory, HT Mint, etc. For more behind-the-scenes banter:?? Follow @kaushikmkj on Instagram and Twitter"
Kavita Pathak,"Vice President at BlackRock | Blockchain enthusiastic APPLICATION DEVELOPER with 15 Years of experience with expertise in object oriented applications, multithreaded architecture, and multi-tiered web application design and development. Experience in transforming business processes into technical models though UML modelling. Expertise in designing, developing and managing applications for Financial Sector – primarily in Fixed Income/Credit Risk. Expertise in Java(Collections, Concurrency package, File handling, Serialization), Multithreading, J2EE Technology(Struts 2.0,Spring2.x/3.0),AJAX, Design Patterns, UML Diagrams, Model View Controller (MVC) Methodology, RESTFUL Web services, Database Design(Oracle/Sybase) and Unit Testing(Junit), Agile development methodology and TDD. Experience in writing micro services and deploying in PAAS. Hands-on software troubleshooting experience Proven track record of proper documentation for future maintenance and upgrades Good communication and interpersonal skills with a record of achieving maximum client satisfaction. I enjoy being challenged and engaging with projects that require me to work outside my comfort and knowledge set, as continuing to learn new languages and development techniques are important to me and the success of your organization."
Ketan Kapoor,"Entrepreneur | Builder | Learner. Founder at Iyurved and Mettl Ketan is a first generation entrepreneur who build and sold Mettl to Mercer in 2018. As the co-founder and CEO, Ketan led Mettl to make it India’s largest corporate assessment company on way to become the largest in the world. At the time of its acquisition in late 2018, Mettl was profitable with 400 employees in India and was exporting its assessments to over 80 countries. An IIT-IIM alumnus, Ketan was awarded the first ever Distinguished Young Alumnus Award in 2019 by IIT Roorkee. Ketan is also a recipient of the Economic Times' “40 under 40” in 2017. He stays with his wife and two young boys in Singapore. Easy Effective Nutrition for the entire family. Our benefits-focused products are well researched, affordable and completely natural. A precious period of recharging and spending time with the family. Ensured a smooth transition Building Mettl (www.mettl.com) was a labour of love. It all started with a dream of doing my own business and over a period of 9 years Mettl became one of the most loved assessment platforms in the world. In this process, I personally learnt a lot, built a truly world class team and made some money for all the stakeholders. The business continues to thrive today in the able hands of Mercer (it acquired Mettl in Oct 2018). Wearing multiple hats (as is always the case in a startup) - Business Development, Internet Marketing / Sales (PPC & Affiliate marketing) and Analytics. First real learnings; Began with deciding what to do, setting up the ecosystem, getting the business models in place, launching an array of services and eventually realising that the world doesn't work as per your assumptions."
Kris Gopalakrishnan + Axilor,"Mr Senapathy “Kris” Gopalakrishnan is the Chairman of Axilor Ventures, an accelerator that helps start-ups during the early stage of their business journey. Kris served as the vice chairman of Infosys from 2011 to 2014 and the chief executive officer and managing director of Infosys from 2007 to 2011. Kris is one of the co-founders of Infosys. Recognized as a global business and technology thought leader, he was voted the top CEO (IT Services category) in Institutional Investor's inaugural ranking of Asia's Top Executives and selected as one of the winners of the second Asian Corporate Director Recognition Awards by Corporate Governance Asia in 2011. He also was selected to Thinkers 50, an elite list of global business thinkers, in 2009. He was elected president of India's apex industry chamber Confederation of Indian Industry (CII) for 2013-14, and served as one of the co-chairs of the World Economic Forum in Davos in January 2014. In January 2011, the Government of India awarded Mr. Gopalakrishnan the Padma Bhushan, the country’s third-highest civilian honor. Mr Gopalakrishnan serves on the Board of Governors of Okinawa Institute of Science and Technology (OIST) and is the Chairman, Board of Governors of IIIT, Bangalore. He is the Chairman of the Vision Group on Information Technology of Karnataka Government and the Chairman of CII Digital Council. Mr Gopalakrishnan is the chairman of Itihaasa Research and Digital which publishes history of Indian IT industry as “itihaasa” (http://www.itihaasa.com/) app as well as reports on industrial and academic research in India. Mr Gopalakrishnan invests in promoting research on Brain sciences, aging related disorders as well as investing in start-ups and start-up ecosystem. Mr. Gopalakrishnan holds Master’s degrees in physics and computer science from the Indian Institute of Technology, Madras. Kris is a Fellow of Indian National Academy of Engineers (INAE) and an Honorary Fellow of Institution of Electronics and Telecommunication Engineers (IETE) of India."
Kunal Shah + Cred,"Poor nations would consistently remain poor unless they value time and productivity becomes a strong desire/value. Those who desire instant wealth are easy to manipulate. Those who desire instant fame are easiest to manipulate. Extra cautious spenders are like a dam that keep accumulating and end up splurging on emotional life events. Trying to make pennies from them is thus hard and better to be building business around their dam breaks. Starting your own business unleashes a super trait that’s otherwise rarely found: ability to mind your own business. Maturity is outcome of setbacks and heartbreaks. It comes faster to those who went all in on things that didn’t work out. Those who remain shallow in their pursuits rarely get broken and thus are never rebuilt. Leadership is building people to build. Many mistaken it as using people to build. Hiring better than you is only possible if you know yourself well. More often than not, only those who take consistent actions towards their financial wellness create wealth that drastically boosts their net worth. At CRED, we ensure actions towards financial wellness become the default mode for our members. In the month of November: 8.2 lakh CRED members avoided extra interest charges by acting on alerts and paying their bills in full. 90 Cr worth of late payments fees was avoided with the help of timely reminders from CRED. 40.24% of our members improved their credit scores by incorporating the suggested actions from the app. 200 Cr worth of hidden charges were detected by members using CRED Protect. 36 Cr worth of cashback was won by members for taking the right financial decisions."
Manish Singhal + Pi ventures,"Manish Singhal is a technologist turned entrepreneur turned venture capitalist. He aspires to help put India on the deep tech innovation map of the world via his work at pi Ventures. He brings 28+ years of experience across diverse sets of fields - building cutting edge deep technology products at global scale, mentoring startups, investing in them and building a deep tech venture fund. Manish started pi Ventures in early 2016 with the vision of accelerating the development of Artificial Intelligence startups in India. In 2015, he noticed a trend of some companies using patterns in data to bring insights and deliver significantly differentiated outcomes for their customers. Such startups could potentially outshine their peers to become category leaders. The journey of pi Ventures started with this thesis. Now apart from looking at Digital disruptions, he is also passionate about supporting disruptions in the Beyond Digital space like space tech, material science, bio tech etc He has been actively involved in the startup eco-system in India for the last few years. He co-founded LetsVenture.com and led it to become the leading marketplace for startups & early stage investors in India within a very short span of time. Before LetsVenture, he was the India country manager for Sling Media Inc, a silicon valley based consumer electronic startup. He built the R&D and product team in India from scratch and took it to a successful acquisition. He is also a founder-mentor for an initiative called Women Entrepreneur Quest, which is an annual event for recognizing and rewarding women entrepreneurs in India. This initiative was founded in 2010 and will be hosting its fifth later this year. After doing his engineering from IIT Kanpur in 1992, he has been instrumental in building several products and teams in different startups and established organisations like Sling Media, Ittiam Systems and Motorola. He has contributed to the standardisation of MPEG-4 standard as well and holds couple of video technology patents to his name. He has experience in building hardware standalone products as well as cloud enabled software products. He is a keen sports enthusiast and a published wild life photographer."
Manisha Bhattacharya,"Managing Director - Sales Enablement Manisha leads Sales Enablement for Accenture India's Intelligent Platform Services group, supporting growth, defining strategy, driving opportunity origination, by harnessing the best of talent, data and intelligence. Passionate about creating and managing inclusive, collaborative and diverse ecosystems. Managing and growing the Sales Enablement team at our ATC locations in functions aligned to our internal sales processes. These functions largely include Proposal Authoring, Bid Management, Research (Account/opportunity based, Industry, New market penetration, competitive analysis), Marketing & Content Development/Management, Sales operations. Leading a passionate team of Sales Enablement professionals in Research, Content, Creative and Sales mobilization who are committed to generating opportunities ""in the New"" Microsoft platform across the spectrum of offerings and services. Focus on digital transformation and sales effectiveness. Working with the Global Leadership in driving strategic leadership development and executive talent management agenda across the global delivery centers of one of Accenture's key business units. Includes facilitating Talent Calibration, Leadership assessments and Succession planning for Executive talent in Strategic and Core roles across the global centers. Program-managing Leadership Development Initiatives for high-potential cadres. Led the Client Services and Sales Enablement Organization for a key vertical at the India Delivery centers. Created and managed a high-performing team that organizes and executes offshore visits of our clients and potential clients, impacting business opportunities running into several millions of dollars. Grew the vertical-dedicated Proposal team by over 75% in my tenure and delivered significant savings by offshoring proposal services as a function. Led a large team of associates in setting efficient processes in place for delivering well-crafted proposal content for high-value opportunities. Led the Program Management portfolio for a key high-value client. This included Demand/Supply fulfillment, Roster management, Capacity planning and expansion, Client management. Led the Service Management team in tracking and reporting critical SLA compliance metrics. Account Champion for People Engagement and Sponsor for CSR. Lead the Business Operations Organization within the Life Sciences vertical. Managed Communication, Marketing, Events, Training, Metrics, Operations and CSR within the Industry Cell. Key focus on Employee Engagement scores through monitoring people issues, developmental plans, creation of Industry Training programs, Business Analysts Center of Excellence and participating in planned employee interactions as a means of keeping them informed and engaged. Lead Client Services Organization for Life Sciences Industry Cell. Key functions include managing the DCSO process, Demand / Supply Management, managing Client Visits to our delivery centres and managing high-value RFP/RFI submissions. In addition program-managed key events, created sales collaterals, conceptualised, planned and executed marketing events."
Manisha Bhattacharya,"Managing Director - Sales Enablement Manisha leads Sales Enablement for Accenture India's Intelligent Platform Services group, supporting growth, defining strategy, driving opportunity origination, by harnessing the best of talent, data and intelligence. Passionate about creating and managing inclusive, collaborative and diverse ecosystems. Managing and growing the Sales Enablement team at our ATC locations in functions aligned to our internal sales processes. These functions largely include Proposal Authoring, Bid Management, Research (Account/opportunity based, Industry, New market penetration, competitive analysis), Marketing & Content Development/Management, Sales operations. Leading a passionate team of Sales Enablement professionals in Research, Content, Creative and Sales mobilization who are committed to generating opportunities ""in the New"" Microsoft platform across the spectrum of offerings and services. Focus on digital transformation and sales effectiveness. Working with the Global Leadership in driving strategic leadership development and executive talent management agenda across the global delivery centers of one of Accenture's key business units. Includes facilitating Talent Calibration, Leadership assessments and Succession planning for Executive talent in Strategic and Core roles across the global centers. Program-managing Leadership Development Initiatives for high-potential cadres. Led the Client Services and Sales Enablement Organization for a key vertical at the India Delivery centers. Created and managed a high-performing team that organizes and executes offshore visits of our clients and potential clients, impacting business opportunities running into several millions of dollars. Grew the vertical-dedicated Proposal team by over 75% in my tenure and delivered significant savings by offshoring proposal services as a function. Led a large team of associates in setting efficient processes in place for delivering well-crafted proposal content for high-value opportunities. Led the Program Management portfolio for a key high-value client. This included Demand/Supply fulfillment, Roster management, Capacity planning and expansion, Client management. Led the Service Management team in tracking and reporting critical SLA compliance metrics. Account Champion for People Engagement and Sponsor for CSR. Lead the Business Operations Organization within the Life Sciences vertical. Managed Communication, Marketing, Events, Training, Metrics, Operations and CSR within the Industry Cell. Key focus on Employee Engagement scores through monitoring people issues, developmental plans, creation of Industry Training programs, Business Analysts Center of Excellence and participating in planned employee interactions as a means of keeping them informed and engaged. Lead Client Services Organization for Life Sciences Industry Cell. Key functions include managing the DCSO process, Demand / Supply Management, managing Client Visits to our delivery centres and managing high-value RFP/RFI submissions. In addition program-managed key events, created sales collaterals, conceptualised, planned and executed marketing events."
Marc Boroditsky + Twilio,"Seasoned entrepreneur with 25+ years enterprise computing experience including 20+ years with start-ups. Founded and financed four start-up software companies and successfully completed the sale of Passlogix to Oracle and Authy to Twilio. Through equal parts vision, hands on leadership and results, built solid teams that have delivered innovative products, developed new markets and generated sales and company results above expectations. Experienced at all stages from pure concept, to prototype and initial sales (<$5M) through high growth global market expansion ($5M to $20M) and most recently market optimization at scale (>$400M) with direct experience leading the following areas: - Strategic /Tactical Planning - Product Management - Marketing/PR/AR - Global Sales Leadership - Business/Corporate Development - Finance - Corporate, Contracts & IP Legal - Mergers & Acquisitions Specific product and market experience in: - Cloud Computing/SaaS - API/Developer Driven Models - Mobile Computing - Security - Identity & Access Management - Enterprise Computing"
Matt Zilli + Planview,"Formerly CEO of Clarizen, leading the team through go-to-market transformation and product strategy changes. Clarizen was acquired by Planview in February 2021.Prior to Clarizen, Marketo & Adobe executive leading Sales/Marketing/Customer Success/Consulting/Alliances. Supported Marketo's growth from ~$60M in revenue through the $4.75B acquisition by Adobe.15 years of experience building and leading world-class teams. Most recently responsible for Marketo's Commercial business at Adobe, including new logo & expansion bookings, retention/revenue, and all supporting operations. Previously led the marketing team at Marketo and built the Product & Segment Marketing functions. Experience leading customer facing teams, go-to-market execution, marketing strategy, thought leadership, messaging & positioning, sales enablement, pricing & product launches.Personal & professional loves include my family, golf, public speaking, constantly evolving as a leader and working with a team to solve complex problems.In addition to go-to-market, previous experience includes Product Management & Business Development in the Semiconductor industry, as well as raising venture capital."
Matthew Howard + Norwest Venture Partners (1),"Matt brings 30+ years of experience in marketing, product mgmt, engineering, biz dev & sales. He has appeared on the Forbes Midas List as a top 100 investor for 3 years & was recognized by Business Insider as one of the ""19 Best Enterprise Tech Venture Capitalists."" He was featured on AlwaysOn's list of ""Power Players in the Cloud."" Matt focuses on mobile, security, rich media, cloud, and infrastructure. He serves on the boards of AiSera, Celona, OneNav, Third Wave, Qventus, UpLevel, & Exabeam. Matt was on the board of 6 Rivers (acq by Shopify), Airespace (acq by Cisco), Aporeto (acq by Palo Alto Networks), Avere (acq by Microsoft), Bitglass (acq Proofpoint), BlueJeans (acq by Verizon), ConteXtream (acq by HP), Exablox (acq by StorageCraft), Hadapt (acq by Teradata), Mist (acq by Juniper), MobileIron (Nasdaq: MOBL), Morta (acq by Palo Alto Networks), Omneon (acq by Harmonic), Pertino (acq by Cradlepoint/Ericsson), Reconnex (acq by McAfee), Retrevo (acq by Shopzilla), ShotSpotter (Nasdaq: SSTI), Skystream (acq by Tandberg Television), SpectraLinear (acq by Silicon Labs), Spinnaker (acq by Network Appliance), Summit Micro (acq by Qualcomm), Swan Labs (acq by F5 Networks) & Webstacks (acq by Extreme Networks). Matt held positions at Vertical Communications, Digital Equipment Corp, BDM Int'l & BBN Communications Corp. He began his career as a cryptological analyst with the U.S. Naval Security Group. Matt serves on the Technical Advisory Board for In-Q-Tel's Lab41 initiative. He serves as a consultant to the Potomac Institute for Policy Studies, which supports the DoD. He is a College of Engineering Dean's Advocacy Council Member at Carnegie Mellon & was a consultant to the Defense Venture Catalyst Initiative program for the DoD."
MINA JEEVAN,"Innovation Ecosystem Associate Principal at Accenture Ventures Reaching out to all Woman Techpreneurs in the Indian ecosystem. Please use this link to apply to the Accenture Women Founders Program: https://lnkd.in/g69m_p39 https://lnkd.in/gpJBVd3t Congrats Anoop N & team for this great initiative!! :) Look forward to see some amazing startups emerge.. #innovation #team https://lnkd.in/grDKKDk Its that time of year again!! Accenture Ventures is back with another exciting edition of its flagship event - The 3rd edition of Accenture Ventures Challenge, powered by Microsoft 100 X 100 X 100, to identify the most innovative #B2B #deeptech Indian startups that are driving "" Innovation in the Never Normal Era"". #AccentureVentures #ecosystem #digitalcommerce #supplychainresilience #systemresilience #responsibletech"
Mohandas Pai,"Mohandas Pai is a Padma Shri Awardee and former CFO and Board Member at Infosys. He is also the co-founder of Akshaya Patra, the world's largest midday meal program, and works actively with government and regulators on policy recommendations and guidelines. Mohan has served as the Chairman of the Board of SEBI, and is now a Board Member of the National Stock Exchange in India. He has emerged as one of India's most prolific angel investors. He has helped start over 10 different funds in venture, growth, and public markets. He also leads a private equity fund - Aarin Capital - along with Manipal Group Chairman Ranjan Pai that invests in life sciences and education companies. A selection of the companies include Byju's, Counsyl, ZoomCar, Praxify, YourStory, and Licious."
MR Rangaswami,"Founder at Indiaspora, CEF & Sand Hill Group M.R. Rangaswami M.R. (Madhavan) Rangaswami is a software executive, investor, entrepreneur, corporate eco-strategy expert, community builder and philanthropist. Recognized as a software business expert, M.R. participated in the rapid expansion of the Silicon Valley software industry during his tenure as an executive at both large and small software companies. In 1997, M.R. co-founded Sand Hill Group, an investment and consulting group which made several notable investments, produced the Enterprise and Software conference series and launched SandHill.com, an online resource for software business strategy. In 2007, M.R. founded the Corporate Eco Forum, an organization dedicated to improving the effectiveness of eco-strategies at Global 500 companies. In 2012 he founded Indiaspora to unite Indian Americans and to transform their success into meaningful impact in India and on the global stage. http://www.sandhill.com http://www.ecoforum.com http://www.indiaspora.org"
Mukund Jagannathan + 1to1help,"Experience Summary. A dynamic & accomplished business leader with an overall experience of 28 years in the Information Technology domain with experience in sales of products , services and channel management associated with large and startup enterprises.I am a decisive, result oriented professional with reasonable high successful track record in driving business, customer and partner relations, and teams. Possess excellent relationship management skills resulting in delivering quality results thru teamwork. Have admirable communication skills including written and verbal communication. Have demonstrated exceptional business partnership skill within the organization including ability to resolve conflicts and influence without authority at all levels in an organization. Experienced in incubating and building new businesses thru the “walk” “jog” and run phases within large and greenfield enterprises. Personal skills - Strong work ethic and highly accountable - Ability to adapt quickly to new assignments/situations/markets etc - Strong execution capabilities - Ability to work under ambiguity - Strong collaboration and people skills"
Naveen Bachwani,"Sr. Director @ Microsoft | Digital Transformation | Customer Engagement | Business Solutions | BFSI Focus | Faculty | Speaker; Posts/Views are personal Naveen is a cross-functional Business Leader with 24+ years of experience in Digital Transformation and Customer Engagement. Built on a strong foundation of Consulting, his career has been focused on bridging the gap between Business and Customer, through solutions based in Technology. Presently, as a Senior Director and Industry Advisor at Microsoft, Naveen helps top-tier BFSI clients leverage Cloud & Enterprise solutions to transform Operations, enhance Productivity, improve Customer Engagement and reduce Risk. Adept at Strategy as well as Execution, his prior experience includes leadership assignments with organizations like Aegon Life where he was the Chief Operating Officer, and the Edelweiss Group where he helped shape Customer Experience across Asset Management, Wealth Advisory, Capital Markets and Insurance. He has led Digital Transformation at enterprise level, worked across the Financial Services spectrum, and also been an entrepreneur. Naveen is a sought-after Keynote Speaker & Jury Member at industry events across India & Asia Pacific, and a Visiting Faculty member at various Management institutes. He is also certified as an Independent Director for Board positions, by IICA (Ministry of Corporate Affairs, Govt. of India). As an Industry Advisor at Microsoft, Naveen helps top-tier clients leverage its Cloud and Enterprise Solutions to transform Operations, enhance Productivity, improve Customer Engagement and reduce Risk. The scope of work includes the full range of Microsoft's comprehensive stack of services, complemented by thousands of Global ISV and SI partnerships - Keynote Speaker and Jury Member at industry events across India & Asia Pacific - Certified Independent Director for Board positions by IICA (Ministry of Corporate Affairs, India) - Certified Corporate Director by Institute of Directors (IOD Global) - Visiting Faculty at various Management institutes As COO at Aegon Life, Naveen spearheaded its Digital Transformation agenda, and had the privilege of leading teams that designed, built and managed an industry-leading Digital First framework for end-to-end Operations, spanning Product Development, UX Design, Underwriting, Claims & Customer Service. ** Member of Aegon India's Leadership team and its Regional SteerCo At Edelweiss Financial Services, Naveen shaped enterprise-wide Customer Strategy to help transform the Edelweiss Group from a product-focused to a customer-focused culture. His role involved driving key CX initiatives across Edelweiss Group entities, from Wealth Advisory & Asset Management to Capital Markets & Insurance, servicing a 1Mn+ strong client-base. ** Charter Member of the Customer Council As an independent consultant at the helm of 'ThinkShop', Naveen worked with leading players in Financial Services and EdTech, to help them bridge the gap between Idea and Execution. The portfolio of services included Program Management and Consulting inputs to shape Customer Engagement, Go-To-Market Strategy, Communication and Design."
Neil Barman,"Chief Growth Officer | Board Observer | Growth-hacker | Storyteller | Early stage Investor| ***Always Hiring Sales Rockstars*** I have 2 decades of experience in Saas and direct-to-customer sales and marketing processes. With business leadership experience in managing sales, marketing and account management functions in IT Services or IT products environment. I have deep understanding of building sales and revenue generation functions in start-ups and scaling organisations across industries and regions. Apart from leading the Growth function globally for Yellow.ai, I am one of the founding members of Sales Enablement society in India and Malaysia, Ambassador for Future Of Sales - APAC community, Advisory Board member to multiple start-ups in India, Malaysia and US and Mentor to the Entrepreneurship cell of BITS Pilani India. Spearheading the growth function for Yellow Messenger globally. Building sales and customer success team to diversify into newer territories and domains. Managing a highly effective network of channel patners, ranging from large SI's to mid-size re seller network across the region. Currently leading all growth function teams including sales, account management, inside sales and partner management. Spearheading the growth function for Yellow Messenger globally. Building sales and customer success team to diversify into newer territories and domains. Managing a highly effective network of channel patners, ranging from large SI's to mid-size re seller network across the region. Currently leading all growth function teams including sales, account management, inside sales and partner management. The Sales Enablement Society (SES) is a volunteer organization focused on elevating the role of Sales Enablement in organizations worldwide through engagement, communication, research, and development. We are the first non-profit Sales Enablement community of Malaysia. Founded in 2016 in the United States, with five founding members, the SES has grown to more than 2,500 members in 13 countries with chapters across the globe. Members represent all areas of the sales enablement community – practitioners, suppliers, industry experts, and academics. The Sales Enablement Society is a volunteer organization founded in January 2016, by a diverse group of like-minded sales and marketing professionals based in the Washington, D.C. area. The SES's overall mission identifies best practices for successful outcomes, clarifies the operations for the sales enablement business, and develops the criteria for sales enablement roles within successful organizations."
Neil Barman + Education,"Chief Growth Officer | Board Observer | Growth-hacker | Storyteller | Early stage Investor| ***Always Hiring Sales Rockstars*** I have 2 decades of experience in Saas and direct-to-customer sales and marketing processes. With business leadership experience in managing sales, marketing and account management functions in IT Services or IT products environment. I have deep understanding of building sales and revenue generation functions in start-ups and scaling organisations across industries and regions. Apart from leading the Growth function globally for Yellow.ai, I am one of the founding members of Sales Enablement society in India and Malaysia, Ambassador for Future Of Sales - APAC community, Advisory Board member to multiple start-ups in India, Malaysia and US and Mentor to the Entrepreneurship cell of BITS Pilani India. Spearheading the growth function for Yellow Messenger globally. Building sales and customer success team to diversify into newer territories and domains. Managing a highly effective network of channel patners, ranging from large SI's to mid-size re seller network across the region. Currently leading all growth function teams including sales, account management, inside sales and partner management. Spearheading the growth function for Yellow Messenger globally. Building sales and customer success team to diversify into newer territories and domains. Managing a highly effective network of channel patners, ranging from large SI's to mid-size re seller network across the region. Currently leading all growth function teams including sales, account management, inside sales and partner management. The Sales Enablement Society (SES) is a volunteer organization focused on elevating the role of Sales Enablement in organizations worldwide through engagement, communication, research, and development. We are the first non-profit Sales Enablement community of Malaysia. Founded in 2016 in the United States, with five founding members, the SES has grown to more than 2,500 members in 13 countries with chapters across the globe. Members represent all areas of the sales enablement community – practitioners, suppliers, industry experts, and academics. The Sales Enablement Society is a volunteer organization founded in January 2016, by a diverse group of like-minded sales and marketing professionals based in the Washington, D.C. area. The SES's overall mission identifies best practices for successful outcomes, clarifies the operations for the sales enablement business, and develops the criteria for sales enablement roles within successful organizations. Hard working and efficient in attitude. Possess thirst for knowledge and likes to work under challenging situations. Innovative working attitude. Believes that market is the institution where society comes for satisfying its wants and needs, so in today’s world of Globalize market, providing best customer-service and attaining customer’s satisfaction is the key to success in this huge platform of competition. Ambitious to sharpen skills more in the field of Business Delivery and Client Relations and expertise in the skill."
Paras Chopra + Wingify (1 LinkedIn data),"- Founder and Chairman of Wingify, a tech company with 2500+ clients in over 90 countries for its main product VWO, the market-leading A/B testing software- Proudly bootstrapped the growth of Wingify to $25mn annual revenue without raising any investment- Forbes India 30 under 30 and Forbes Asia 30 under 30- Winner of Economic Times Startup of the Year award in 2017- Gold medalist from Delhi College of Engineering, Delhi University- Published multiple research papers in international peer-reviewed journals in computational biology. Wingify is a leading SaaS company in customer experience and conversion rate optimization space. With 2500+ paying clients globally, the company has the following products: 1. VWO Testing, an A/B, Split, and Multivariate Testing solution 2. VWO Engage, a push notification service for web and mobile 3. VWO Insights, a visitor behaviour tracking & analytics product 4. VWO FullStack, a server side testing solution 5. VWO Plan, a program management layer for experience optimization Proudly bootstrapped, Wingify has 250+ employees across India (we're remote!) and has a sales of more than USD 25 million annually. My job was to analyze and devise Artificial Intelligence and Machine Learning algorithms for enabling accurate large scale assessment via standardized Computer Adaptive Tests. Techniques used include Bayesian inference, active learning, non-linear optimization and various classification, data mining and predictive analytics methods. Leading a team of six people, I am successfully managing Kroomsa which helps Indian bands promote their music on the web. A win-win model has been created as the revenue generated through the website is shared between the artist/band, Kroomsa and an NGO. I was part of the Life Sciences group in Grail Research. As an Analyst, my job responsibility was to tackle a business research problem and come up with relevant data and insights through primary and secondary research"
Phani Yedavilli,"VP Product Partnerships, yellow.ai | Product & Growth | IIT Kharagpur Leadership experience in Consumer Internet & SaaS startups with deep understanding of e-commerce and technology businesses. Worked on scaling up mature categories and demonstrated expertise in building from ""0 to 1"". Initiative driven & a strong believer of first-principles and have exhibited the ability to deliver complex challenges. Areas of expertise: strategic partnerships, P&L Management, business strategy, negotiations, investments and growth initiatives. Passionate about the internet economy & the innovations in the consumer & enterprise tech space in India. Looking forward to collaborating with companies, exciting startups. Reach out to me on phani.y@yellow.ai Worked in a leadership role creating impact in P&L & Working Capital Management, Distribution & Growth and Strategic initiatives - Strategised and executed the overall P&L ($30 mn annualised GMV) and cash flow management with a consistent track record of achieving top-line & bottom-line goals. - Evaluated, negotiated & successfully operationalised 100+ national partnerships with fulfilment partners, banks, payment partners, OEMs, marketing affiliates, logistics partners & technology vendors - Devised unique GTM partnerships with 8+ Banks (HDFC,ICICI,IDBI,YES,Federal,etc), OEMs (Karbonn,Intex, Infinix) and Offline Distribution Networks to deliver multifold inorganic growth - Led strategic projects to improve unit economics and undertook initiatives to drive cost optimisations across various business units Worked across various verticals – Operations, Growth & Hiring. Led the growth & expansion activity across Bangalore - Spearheaded B2B tie-ups with companies and closed deals which contributed to 30% of the revenue - Conceptualised and implemented BTL activations, Content Marketing, Acquisition & Retention strategies - Expanded operations to 11 new locations, spearheaded the launch of dinner category which led to a 100% increase in revenue - Built the operations dashboard, clustering algorithm & delivery boy mobile app which lead to 15% increase in efficiency Received appraisal in 6 months and was promoted to work in a high activity & high profile offshore location. Was in the team which accomplished exploration operations with ticket sizes over 1.5 mn USD. • Led multi-national teams to accomplish high profile reservoir evaluation operations with zero loss-time, zero incidents and best service quality. • Responsible for client relations, pre-job planning & preparation, safety evaluation, resource identification & utilization, logistics management, job execution, data evaluation & quality checks and on-site troubleshooting activities. • Was actively involved in reporting, raising red flags, mitigating risks & taking initiatives towards delivering the best of service quality to the clients. • Worked consistently towards training of the crew and as reporting manager, was responsible for the appraisal & promotions of operators & technicians. Received technical training in Abu Dhabi followed by on-field training at Agartala. Was actively involved in all the aspects of the operations - job logistics, inventory management, crew handling & data delivery. • Maintained the tracking of assets worth over $400K including radioactive sources & explosives. • Streamlined the inventory management, invoicing & calibration updation processes in the newly established base. • Led the Loss Prevention Team in Agartala, catered to the QHSE (Quality Health Safety Environment) requirements of the newly established base. • Successfully completed PEPTEC-1 course with an aggregate of 82% from MLC, Abudhabi • Selected for the Finance panel at the 21st edition of the HPAIR Asia Conference held in Dubai • Participated in seminars, case studies and workshops focusing on challenges and collaborative growth of Asian economies"
